,Wavelength (nm),GE 200 W Clear,GE Wattmiser 52 W frosted,Spot 60 W,GE Reveal 3 Way
1,350,0.00280035,0.000172174,0.000408537,0.00010784
2,351,0.00290631,0.00019782,0.000401961,0.000109217
3,352,0.00296749,0.000172848,0.000425308,0.000127523
4,353,0.00303627,0.000163227,0.000437474,0.000144584
5,354,0.0031296,0.00019036,0.000449166,0.000159188
6,355,0.00320831,0.000207698,0.00047884,0.000175505
7,356,0.00327993,0.000207333,0.000490867,0.000199015
8,357,0.0033677,0.000205626,0.000505247,0.00022621
9,358,0.0034834,0.000219011,0.000530824,0.000253946
10,359,0.00358676,0.000243203,0.000549318,0.000280223
11,360,0.00367937,0.000250086,0.000563735,0.000314006
12,361,0.00377058,0.000244639,0.000581325,0.000356011
13,362,0.00387349,0.000252732,0.000609941,0.000402573
14,363,0.00396291,0.000262975,0.000624466,0.000449111
15,364,0.0040495,0.000276727,0.000640284,0.000499952
16,365,0.00414704,0.000290483,0.000668235,0.00055676
17,366,0.00426666,0.00028693,0.000690419,0.000609059
18,367,0.00439316,0.000297219,0.000700814,0.00066457
19,368,0.0045145,0.000312412,0.000710566,0.00072595
20,369,0.00462547,0.000315359,0.000744886,0.000792768
21,370,0.00475104,0.000337491,0.000758987,0.00085005
22,371,0.00487134,0.000344327,0.000772293,0.000907013
23,372,0.00498102,0.000337119,0.000806926,0.000973522
24,373,0.00510419,0.000363282,0.000820087,0.00103085
25,374,0.00527503,0.000389649,0.000837982,0.00108817
26,375,0.00545719,0.000407566,0.0008705,0.0011471
27,376,0.00560747,0.00041797,0.000901344,0.00119521
28,377,0.00572112,0.000434073,0.000928206,0.00125315
29,378,0.00587673,0.000442378,0.000952407,0.00131484
30,379,0.00606304,0.000444949,0.000976466,0.00136598
31,380,0.0062045,0.000456075,0.000993397,0.0014238
32,381,0.00638005,0.000482237,0.00101177,0.00148084
33,382,0.00656934,0.000503746,0.00103862,0.00153375
34,383,0.00675215,0.000508244,0.00107492,0.00159412
35,384,0.00695552,0.00051079,0.00110103,0.00165158
36,385,0.00716965,0.000523827,0.00111977,0.0017091
37,386,0.00737637,0.00054248,0.00114985,0.00177813
38,387,0.00755938,0.000554715,0.00118637,0.00183834
39,388,0.00776549,0.000583674,0.00122082,0.00189165
40,389,0.00798809,0.000604276,0.00124682,0.00194674
41,390,0.00822347,0.000610428,0.00126943,0.00201748
42,391,0.00848939,0.000646404,0.00130065,0.00209237
43,392,0.00877509,0.000674084,0.00134059,0.00216507
44,393,0.00906894,0.000699585,0.00137396,0.00223733
45,394,0.0093636,0.000741093,0.00139568,0.00230037
46,395,0.00968855,0.000767675,0.0014187,0.00236204
47,396,0.0100007,0.000785589,0.00145992,0.00243429
48,397,0.0103049,0.00080585,0.00149581,0.00250152
49,398,0.010701,0.000841434,0.00152787,0.00256767
50,399,0.0111007,0.000885663,0.00155923,0.00263629
51,400,0.0115187,0.000933614,0.00158728,0.00270322
52,401,0.0119968,0.000981088,0.00162501,0.00277617
53,402,0.0124913,0.00102862,0.00166957,0.00285254
54,403,0.0130028,0.00107423,0.00170573,0.00292204
55,404,0.0135331,0.00111577,0.00173777,0.0029916
56,405,0.0140813,0.00114923,0.00177275,0.00306391
57,406,0.0146621,0.00119956,0.00181628,0.00313964
58,407,0.0152914,0.00126482,0.00186219,0.00321411
59,408,0.0159746,0.00133148,0.00190399,0.00329235
60,409,0.0166249,0.00138322,0.00193819,0.00337341
61,410,0.017308,0.00144021,0.00196319,0.003444
62,411,0.0180456,0.00151,0.00200151,0.00351401
63,412,0.0187467,0.00157309,0.00204844,0.00358807
64,413,0.0194762,0.00162601,0.00208541,0.00366832
65,414,0.0202328,0.00167451,0.0021279,0.00374479
66,415,0.0209938,0.00172948,0.00216977,0.00382071
67,416,0.0217706,0.00180016,0.00220619,0.00389993
68,417,0.0225437,0.00187155,0.0022533,0.00397703
69,418,0.0232975,0.00193338,0.00229731,0.00406014
70,419,0.0240237,0.00198944,0.00233513,0.00414796
71,420,0.0247862,0.00204157,0.00237814,0.00422468
72,421,0.025569,0.00209568,0.00243556,0.00430465
73,422,0.0263134,0.00215704,0.00249406,0.00439092
74,423,0.0270006,0.00219709,0.00253265,0.00448002
75,424,0.0276986,0.00224178,0.00257686,0.00455186
76,425,0.0284384,0.00230715,0.00262762,0.00461459
77,426,0.0291181,0.00236484,0.00267999,0.00467639
78,427,0.0297717,0.00240902,0.00272162,0.00472948
79,428,0.0304296,0.00245309,0.00277238,0.00478409
80,429,0.031121,0.00252348,0.002834,0.00484513
81,430,0.0317825,0.00258008,0.0028864,0.00491106
82,431,0.0324353,0.00263304,0.0029485,0.00498853
83,432,0.0331024,0.00269515,0.00301537,0.00507361
84,433,0.0337519,0.00274847,0.00307528,0.00516161
85,434,0.0344038,0.00280766,0.00313845,0.00527795
86,435,0.0350684,0.00287297,0.00319877,0.00541371
87,436,0.0357411,0.00292793,0.00325274,0.00555736
88,437,0.0364138,0.00298318,0.00331153,0.00570809
89,438,0.0370805,0.00304171,0.00336814,0.00585407
